cell_line_id,top_10_drug_ids
910934,"180,104,201,1004,1248,140,11,135,184,20"
910935,"1494,1248,3,180,1003,135,1004,1372,200,5"
910942,"1007,1248,1004,268,180,135,200,194,133,102"
910943,"268,9,153,1192,16"
910944,"201,1004,1003,283,140,1011,1248,135,87,103"
910947,"1060,1372,1248,1003,1494,135,346,11,194,18"
910948,"268,1248,346,1049,1059,1053,1161,1239,1243,116"
917486,"201,200,194,87,184,136,328,185,1526,27"
924110,"1248,1004,268,208,200,194,1011,219,182,4"
924186,"201,135,180,1494,1007,268,283,140,133,19"
924188,"268,1004,1057,346,83,182,9,45,344,124"
924238,"1007,1016,1372,1003,1494,1004,1031,194,1373,124"
924239,"1016,346,180,268,283,83,1004,11,1057,124"
924242,"200,136,133,176,19"
924246,4
924247,"201,1007,1494,11,283,140,268,208,1004,19"
924248,"346,194,53,328,170,252,219,157,331,6"
925339,"104,1372,1373,83,194,1242,1498,1526,200,2"
925342,"1248,1003,1494,180,1004,268,11,346,140,28"
925343,"201,104,1494,1007,11,1003,268,135,1016,18"
925345,"3,283,180,1031,268,11,194,51,200,8"
930082,"3,1007,1248,11,268,1372,140,83,87,6"
946355,"3,180,11,87,60,200,86,41,11"
946356,"180,194,11,51,87,83,60,53,200,13"
946358,"283,346,1016,1248,268,194,200,1057,328,30"
946359,"283,194,1026,200,268,282,1166,170,182,30"
946363,"180,87,200,208,135,226,60,328,276,29"
946367,"283,104,1007,1004,302,9,268,328,262,29"
946368,"1248,104,1007,1004,180,268,1372,1057,1026,116"
946369,"104,1007,1004,51,208,1026,346,56,53,15"
946370,"346,268,9,1529,10"
946373,"1494,268,173,1047,123"
949088,"268,1003,1248,1004,346,1008,328,200,1057,19"
949153,"283,1248,1003,1494,1008,135,223,302,1057,18"
949154,"268,194,200,83,328,8"
949155,"104,1494,1007,1003,1031,201,140,1004,1248,22"
949156,"3,201,135,1494,180,1003,1007,11,1248,103"
949157,"104,1248,180,135,194,53,87,83,268,"
949161,"1494,1248,1003,346,268,1011,1259,252,136,32"
949162,
949163,"1494,283,201,1003,3,140,346,135,268,18"
949164,"283,346,268,140,1248,1004,226,180,208,105"
949165,"1003,201,135,180,1007,1494,1248,1031,268,14"
949166,"135,201,1248,346,180,140,200,133,194,26"
949168,"1248,268,1166,282,182,1,38,288,1161,5"
949170,"62,235,9,185,45,63,24"
949171,"1248,1494,1003,1004,1259,136,1006,127,1529,18"
949172,"140,268,273,346,274,200,272,276,164,149"
949173,"268,180,83,200,272,302,170,276,41,16"
949174,"180,268,299,1261,200,293,157,272,346,19"
949175,"1003,60,300,86,83,170,9,331,302,25"
949176,"1248,1494,1003,1261,1372,1057,87,194,83,152"
949177,"201,104,1007,1248,1494,1004,11,140,180,26"
949178,"1007,1003,1494,1031,180,1004,346,1024,170,20"
